"ï»¿""total_population",household_population,and_number_of_households_by_region_and_province_highly_urbanized_city:_philippines,"2020""",unnamed:_4,unnamed:_5,unnamed:_6
nan,nan,nan,nan,,,
nan,Total Population,Household Population,Number Of Households,,,
..Region X (Northern Mindanao),5022768,5007798,1197736,,,
....Bukidnon,1541308,1537629,357112,,,
....Camiguin,92808,92696,22281,,,
....Lanao Del Norte *,722902,721716,161458,,,
....Misamis Occidental,617333,614951,149188,,,
....Misamis Oriental *,956900,954953,230233,,,
....City Of Cagayan De Oro,728402,723671,190225,,,
....City Of Iligan,363115,362182,87239,,,
..Region Xi (Davao Region),5243536,5223802,1337781,,,
....Davao De Oro (Compostela Valley),767547,766299,188918,,,
....Davao Del Norte,1125057,1115167,271655,,,
....Davao Del Sur *,680481,679457,182681,,,
....Davao Occidental,317159,316907,78185,,,
....Davao Oriental,576343,574984,140064,,,
....City Of Davao,1776949,1770988,476278,,,
..Region Xii (Soccsksargen),4360974,4351773,1065453,,,
....Cotabato (North Cotabato),1275185,1273594,308443,,,
....Sarangani,558946,558069,133865,,,
....South Cotabato *,975476,973146,244987,,,
....Sultan Kudarat,854052,851554,202813,,,
....City Of General Santos (Dadiangas),697315,695410,175345,,,
..Region Xiii (Caraga),2804788,2795340,661773,,,
....Agusan Del Norte *,387503,386211,91016,,,
....Agusan Del Sur,739367,737991,173962,,,
....Dinagat Islands,128117,127963,29391,,,
....Surigao Del Norte,534636,531753,127445,,,
....Surigao Del Sur,642255,640512,150551,,,
....City Of Butuan,372910,370910,89408,,,
..Bangsamoro Autonomous Region In Muslim Mindanao (Barmm),4944800,4938539,832908,,,
....Basilan,426207,425111,73419,,,
....Lanao Del Sur,1195518,1194507,183629,,,
....Maguindanao,1667258,1666353,287284,,,
....Sulu,1000108,998675,166140,,,
....Tawi-Tawi,440276,438545,74768,,,
....Eight (8) Area Clusters ***,215433,215348,47668,,,
"* Population Counts For The Provinces Exclude The Counts Of Highly Urbanized Cities.
** Geographically Located In The Province Of Basilan
*** Per Psa Board Resolution No. 13 Series Of 2021 - Approving And Adopting The Third Quarter 2021 Philippine Standard Geographic Code Updates To Include The Bangsamoro Autonomous Region In Muslim Mindanao (Barmm) And Correct The Names Of 37 Barangays.
A Excludes 2098 Filipinos In Philippine Embassies Consulates And Mission Abroad",nan,nan,nan,,,
Latest Update:,nan,nan,nan,,,
20240415 09:00,nan,nan,nan,,,
Source:,nan,nan,nan,,,
Philippine Statistics Authority 2020 Census Of Population And Housing,nan,nan,nan,,,
Contact:,nan,nan,nan,,,
Contact:,nan,nan,nan,,,
Population And Housing Census Division,nan,nan,nan,,,
National Censuses Service,nan,nan,nan,,,
Philippine Statistics Authority (Psa),nan,nan,nan,,,
19Th Floor Psa Headquarters Psa Complex East Ave. Diliman Quezon City Philippines 1101,nan,nan,nan,,,
Email Address: Phcd.Staff@Psa.Gov.Ph,nan,nan,nan,,,
Units:,nan,nan,nan,,,
Persons And Households,nan,nan,nan,,,
Official Statistics,nan,nan,nan,,,
Internal Reference Code:,nan,nan,nan,,,
1A6Dphh0,nan,nan,nan,,,
